7.150	5.849	0.146	1.177
0.007	5.994	0.073	1.179
0.023	5.885	0.175	1.179
0.039	5.855	0.155	1.182
0.056	6.039	0.171	1.179
0.073	6.082	0.079	1.179
0.089	5.936	0.113	1.181
0.106	6.053	0.095	1.179
0.122	5.975	0.123	1.179
0.140	6.087	0.089	1.180
0.156	5.759	0.059	1.181
0.173	5.929	0.086	1.179
0.189	5.995	0.122	1.177
0.206	5.890	0.175	1.179
0.223	5.855	0.066	1.178
0.239	6.032	0.183	1.180
0.256	6.036	0.051	1.179
0.273	6.051	0.123	1.177
0.290	5.885	0.227	1.180
0.306	5.937	0.133	1.179
0.323	5.912	0.257	1.182
0.340	5.940	0.195	1.178
0.356	5.996	0.052	1.178
0.373	6.112	0.071	1.179
0.390	5.959	0.230	1.179
0.407	6.014	0.112	1.181
0.422	6.046	0.046	1.182
0.439	6.054	0.200	1.178
0.457	5.810	0.065	1.179
0.474	6.070	0.059	1.180
0.489	5.910	0.088	1.176
0.506	6.040	0.306	1.179
0.524	6.067	0.106	1.180
0.539	5.993	0.138	1.179
0.557	6.072	0.104	1.178
0.574	6.068	0.096	1.181
0.589	6.130	0.154	1.179
0.607	5.922	0.136	1.180
0.624	5.893	0.182	1.181
0.639	5.978	0.135	1.178
0.656	5.844	0.118	1.181
0.674	5.955	0.077	1.178
0.689	5.928	0.106	1.178
0.706	5.896	0.113	1.180
0.724	6.074	0.048	1.181
0.739	6.197	0.157	1.178
0.756	6.074	0.169	1.179
0.774	5.890	0.104	1.178
0.789	5.971	0.140	1.179
0.806	6.035	0.227	1.181
0.824	5.964	0.079	1.182
0.841	6.007	0.120	1.179
0.856	5.942	0.101	1.180
0.874	5.995	0.074	1.178
0.891	6.084	0.046	1.180
0.906	5.980	0.150	1.180
0.924	6.071	0.170	1.180
0.939	6.010	0.125	1.179
0.957	5.916	0.187	1.179
0.974	6.071	0.075	1.178
0.989	5.924	0.200	1.180
1.007	6.058	0.160	1.180
1.024	6.030	0.166	1.179
1.041	5.929	0.065	1.179
1.057	5.833	0.234	1.182
1.074	6.026	0.149	1.181
1.091	6.013	0.154	1.177
1.107	5.897	0.053	1.179
1.123	6.020	0.141	1.178
1.141	5.963	0.119	1.181
1.156	6.038	0.083	1.178
1.173	6.081	0.158	1.178
1.190	5.977	0.160	1.179
1.207	5.952	0.182	1.181
1.224	6.055	0.185	1.181
1.240	6.097	0.112	1.179
1.257	6.011	0.108	1.178
1.274	5.995	0.069	1.178
1.290	5.965	0.242	1.182
1.307	6.062	0.108	1.181
1.324	6.096	0.106	1.179
1.341	6.019	0.129	1.178
1.357	6.036	0.149	1.178
1.374	6.035	0.201	1.180
1.391	6.003	0.093	1.180
1.407	6.077	0.154	1.181
1.424	5.878	0.075	1.179
1.441	6.094	0.052	1.181
1.457	5.865	0.045	1.178
1.474	6.080	0.094	1.179
1.491	5.903	0.095	1.179
1.508	6.050	0.154	1.180
1.524	5.819	0.061	1.180
1.541	6.101	0.077	1.180
1.558	5.880	0.121	1.179
1.574	5.975	0.169	1.178
1.591	5.866	0.134	1.180
1.608	6.041	0.067	1.181
1.625	5.908	0.161	1.182
1.641	5.994	0.086	1.180
1.657	5.978	0.097	1.180
1.674	5.984	0.217	1.181
1.691	5.928	0.142	1.181
1.707	5.920	0.075	1.180
1.724	5.923	0.059	1.178
1.741	5.939	0.114	1.178
1.758	6.044	0.191	1.178
1.774	6.094	0.221	1.179
1.791	6.018	0.076	1.181
1.808	6.087	0.169	1.180
1.824	6.061	0.133	1.181
1.841	6.015	0.094	1.180
1.857	5.892	0.139	1.179
1.874	6.147	0.071	1.178
1.891	5.962	0.173	1.178
1.908	5.950	0.081	1.180
1.924	5.984	0.114	1.180
1.941	5.925	0.136	1.177
1.958	5.892	0.081	1.179
1.974	6.070	0.158	1.178
1.990	5.966	0.126	1.177
2.009	6.065	0.137	1.180
2.024	6.007	0.171	1.180
2.041	5.988	0.143	1.179
2.059	6.016	0.072	1.181
2.074	5.982	0.144	1.179
2.091	6.019	0.042	1.177
2.108	5.872	0.091	1.181
2.125	6.082	0.076	1.180
2.142	5.965	0.099	1.177
2.158	6.022	0.170	1.180
2.175	6.059	0.236	1.179
2.192	5.910	0.048	1.180
2.208	6.077	0.142	1.178
2.225	5.886	0.078	1.179
2.242	5.788	0.171	1.180
2.258	6.066	0.157	1.180
2.275	6.081	0.146	1.180
2.290	5.974	0.094	1.181
2.308	6.089	0.100	1.179
2.325	6.050	0.180	1.181
2.342	5.852	0.085	1.183
2.359	6.020	0.179	1.179
2.374	5.888	0.099	1.179
2.392	6.063	0.156	1.179
2.408	6.037	0.128	1.180
2.424	5.906	0.104	1.181
2.441	5.881	0.058	1.180
2.458	5.997	0.040	1.179
2.476	5.954	0.082	1.179
2.491	5.886	0.169	1.179
2.508	5.875	0.107	1.177
2.526	5.932	0.156	1.182
2.541	6.147	0.082	1.179
2.558	6.134	0.227	1.179
2.576	5.938	0.155	1.179
2.591	6.021	0.090	1.179
2.608	6.005	0.081	1.181
2.626	6.106	0.249	1.180
2.641	5.998	0.204	1.178
2.658	5.845	0.074	1.182
2.676	5.877	0.137	1.179
2.691	5.922	0.064	1.181
2.708	5.880	0.102	1.181
2.725	6.063	0.084	1.181
2.743	5.841	0.201	1.180
2.758	5.831	0.122	1.181
2.775	6.157	0.195	1.180
2.792	5.923	0.119	1.181
2.809	5.767	0.035	1.180
2.825	5.883	0.120	1.178
2.842	5.916	0.151	1.181
2.859	5.877	0.145	1.178
2.875	5.987	0.175	1.180
2.892	5.977	0.148	1.181
2.909	6.031	0.078	1.179
2.925	5.885	0.065	1.179
2.942	6.016	0.177	1.181
2.959	6.070	0.111	1.180
2.975	5.923	0.148	1.179
2.992	5.909	0.115	1.179
3.009	6.033	0.185	1.180
3.025	6.050	0.064	1.180
3.042	6.118	0.132	1.179
3.059	5.954	0.148	1.181
3.075	5.975	0.124	1.180
3.092	6.139	0.096	1.180
3.109	6.032	0.078	1.178
3.125	6.035	0.177	1.179
3.142	6.019	0.115	1.179
3.159	6.026	0.113	1.182
3.176	6.023	0.171	1.180
3.192	6.005	0.103	1.182
3.209	6.003	0.133	1.178
3.226	5.885	0.106	1.182
3.243	5.978	0.049	1.181
3.260	6.016	0.104	1.182
3.276	5.879	0.103	1.179
3.293	5.905	0.065	1.177
3.308	5.899	0.106	1.177
3.325	5.900	0.134	1.180
3.343	5.938	0.108	1.181
3.358	5.933	0.127	1.179
3.375	5.879	0.100	1.176
3.393	5.808	0.080	1.179
3.408	5.813	0.114	1.179
3.425	5.968	0.144	1.180
3.443	6.030	0.075	1.180
3.460	6.075	0.132	1.181
3.475	5.826	0.099	1.182
3.493	5.970	0.121	1.180
3.510	6.108	0.141	1.181
3.525	6.087	0.083	1.181
3.543	5.909	0.086	1.178
3.560	5.925	0.117	1.179
3.575	5.910	0.097	1.181
3.593	5.977	0.102	1.179
3.610	5.920	0.118	1.179
3.625	5.854	0.063	1.179
3.643	5.849	0.128	1.182
3.660	6.013	0.097	1.184
3.675	5.907	0.163	1.177
3.693	5.955	0.057	1.179
3.710	5.812	0.087	1.181
3.725	5.965	0.172	1.178
3.743	6.088	0.150	1.179
3.760	6.021	0.116	1.181
3.775	6.009	0.081	1.182
3.793	6.008	0.121	1.179
3.810	5.806	0.055	1.181
3.825	5.958	0.177	1.181
3.843	6.126	0.052	1.180
3.860	5.859	0.096	1.179
3.877	5.921	0.047	1.179
3.893	5.999	0.093	1.181
3.910	5.977	0.193	1.178
3.927	6.160	0.095	1.180
3.943	6.096	0.133	1.182
3.960	5.951	0.077	1.181
3.975	5.957	0.078	1.181
3.992	5.995	0.051	1.180
4.010	5.997	0.111	1.180
4.025	5.851	0.137	1.180
4.042	6.013	0.159	1.179
4.060	5.924	0.119	1.180
4.077	5.916	0.031	1.179
4.093	6.066	0.226	1.182
4.110	5.884	0.148	1.178
4.127	6.034	0.182	1.181
4.142	5.965	0.080	1.180
4.160	5.954	0.020	1.180
4.177	6.068	0.089	1.177
4.192	6.041	0.129	1.181
4.210	6.071	0.058	1.178
4.227	6.070	0.086	1.180
4.242	5.991	0.197	1.180
4.260	6.055	0.137	1.176
4.277	5.977	0.102	1.179
4.292	5.997	0.178	1.181
4.310	5.994	0.079	1.180
4.327	5.970	0.117	1.185
4.342	6.072	0.139	1.180
4.360	6.063	0.090	1.180
4.377	5.879	0.097	1.178
4.394	5.913	0.118	1.182
4.410	6.037	0.035	1.181
4.427	5.976	0.163	1.181
4.442	5.882	0.138	1.180
4.460	6.064	0.164	1.181
4.477	6.052	0.103	1.181
4.494	6.020	0.118	1.179
4.510	5.968	0.104	1.180
4.527	6.031	0.084	1.176
4.544	5.791	0.149	1.181
4.560	5.914	0.065	1.180
4.577	5.903	0.146	1.180
4.594	5.954	0.170	1.180
4.610	5.951	0.177	1.177
4.626	5.949	0.117	1.179
4.644	6.082	0.075	1.181
4.661	5.958	0.088	1.180
4.676	5.942	0.177	1.180
4.694	5.840	0.115	1.180
4.711	5.926	0.085	1.180
4.726	5.957	0.026	1.180
4.744	5.827	0.095	1.182
4.761	5.919	0.095	1.180
4.778	5.979	0.181	1.178
4.794	5.825	0.246	1.180
4.811	5.811	0.090	1.181
4.826	5.976	0.125	1.181
4.843	5.884	0.080	1.177
4.861	5.805	0.203	1.178
4.876	5.911	0.103	1.180
4.893	6.073	0.160	1.179
4.911	5.926	0.070	1.179
4.926	5.849	0.035	1.178
4.943	5.926	0.117	1.181
4.961	5.896	0.170	1.179
4.978	5.907	0.177	1.178
4.993	6.074	0.050	1.179
5.011	5.939	0.218	1.178
5.028	6.049	0.091	1.180
5.043	5.915	0.141	1.182
5.061	6.051	0.195	1.180
5.078	5.964	0.101	1.182
5.093	5.972	0.064	1.181
5.111	5.872	0.105	1.181
5.128	6.034	0.190	1.180
5.143	5.817	0.094	1.180
5.161	5.891	0.163	1.180
5.178	5.949	0.125	1.179
5.193	5.935	0.075	1.179
5.211	5.978	0.151	1.179
5.228	6.079	0.051	1.180
5.243	5.838	0.097	1.180
5.260	5.952	0.104	1.177
5.278	6.046	0.059	1.180
5.295	5.725	0.072	1.180
5.311	5.992	0.117	1.179
5.328	5.754	0.079	1.177
5.343	5.937	0.065	1.177
5.360	5.807	0.190	1.178
5.377	5.788	0.055	1.178
5.395	5.951	0.128	1.181
5.410	6.148	0.121	1.180
5.427	5.901	0.121	1.180
5.445	5.903	0.108	1.181
5.462	5.907	0.156	1.183
5.477	6.010	0.104	1.181
5.495	5.992	0.087	1.180
5.512	5.887	0.075	1.177
5.527	5.963	0.102	1.180
5.545	5.920	0.178	1.178
5.560	5.920	0.333	1.177
5.577	5.988	0.196	1.182
5.595	5.843	0.100	1.179
5.612	5.956	0.095	1.180
5.627	5.968	0.166	1.179
5.645	5.961	0.047	1.180
5.662	5.927	0.122	1.178
5.677	5.971	0.165	1.180
5.695	5.855	0.082	1.178
5.710	5.932	0.126	1.180
5.727	5.751	0.085	1.180
5.745	5.872	0.156	1.181
5.762	6.054	0.173	1.180
5.777	5.948	0.152	1.179
